epoch,train_accuracy,validation_accuracy,loss,validation_loss
1,0.09661046415567398,0.13505207002162933,5.538769245147705,4.880400657653809
2,0.12534411251544952,0.1608331948518753,4.645562648773193,4.264352321624756
3,0.14156056940555573,0.15861362218856812,4.181604385375977,4.175155162811279
4,0.14616310596466064,0.17346765100955963,3.894033908843994,3.6564080715179443
5,0.15300241112709045,0.18268738687038422,3.6990604400634766,3.5085487365722656
6,0.16358396410942078,0.11831995844841003,3.537217617034912,5.86322546005249
7,0.16526152193546295,0.19737066328525543,3.4259889125823975,3.2810895442962646
8,0.17003613710403442,0.1920778602361679,3.3301427364349365,3.212475061416626
9,0.1745956689119339,0.17397984862327576,3.244830846786499,3.1900687217712402
10,0.176187202334404,0.19361448287963867,3.186481475830078,3.0855867862701416
11,0.1782088726758957,0.19054123759269714,3.1299121379852295,3.0470964908599854
12,0.181090846657753,0.1773945689201355,3.086637496948242,3.0747053623199463
13,0.18435993790626526,0.20044390857219696,3.0551071166992188,3.0482826232910156
14,0.1835426688194275,0.16271129250526428,3.0115203857421875,3.0862832069396973
15,0.1868547797203064,0.1773945689201355,2.984959363937378,3.001507520675659
16,0.189005509018898,0.19856582581996918,2.9695024490356445,2.9306111335754395
17,0.1914573311805725,0.1915656477212906,2.9488649368286133,2.9930198192596436
18,0.19519959390163422,0.06692846119403839,2.9248359203338623,5.043887615203857
19,0.19193048775196075,0.14427180588245392,2.9213833808898926,3.1524534225463867
20,0.19963008165359497,0.20590746402740479,2.8972747325897217,2.8909618854522705
21,0.19739332795143127,0.20317569375038147,2.880074977874756,2.895720958709717
22,0.20397453010082245,0.1965169906616211,2.870189666748047,2.8860652446746826
23,0.20384548604488373,0.19515110552310944,2.8521831035614014,2.862352132797241
24,0.2074587047100067,0.194468155503273,2.835259437561035,2.873730421066284
25,0.20780281722545624,0.19822435081005096,2.822866201400757,2.8373513221740723
26,0.20922230184078217,0.19224859774112701,2.8095924854278564,2.889902114868164
27,0.2120182365179062,0.20812702178955078,2.798185348510742,2.866960048675537
28,0.21507225930690765,0.20505377650260925,2.7870683670043945,2.8430304527282715
29,0.2141689658164978,0.20078538358211517,2.773317337036133,2.8708853721618652
30,0.2172660082578659,0.1966877281665802,2.7699270248413086,2.85231876373291
